subject,session_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
284,5fdc972d0f62f41d1c65753f,APPROVED,49:01:00,09:46.7,1244.848,23,3,0,100,08:43:00,30C8DBAC,China,United Kingdom,DATA EXPIRED,Chinese,China,Female,DATA EXPIRED
212,5fe7354946872e52c307990e,APPROVED,06:17:00,21:40.5,923.355,24,268,0,100,08:45:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,Yes
234,5fe7370343c5785a09b16e8e,APPROVED,13:41:00,29:55.8,974.228,21,85,0,100,08:48:00,30C8DBAC,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
272,5fe7479bbb7b290bba24d7da,APPROVED,24:32:00,46:13.2,1301.127,20,27,0,100,08:52:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
20,5fe74f7d04a1df592e29cdf0,APPROVED,58:10:00,21:46.0,1415.963,47,428,1,100,08:56:00,30C8DBAC,Spain,Spain,Full-Time,Spanish,Spain,Male,No
214,5fe75e496a36575d1d829b69,APPROVED,01:13:00,17:52.9,999.027,24,98,3,97,09:00:00,30C8DBAC,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes
243,5fe7a2c6cfa055e3d47938d5,APPROVED,53:26:00,10:18.6,1011.838,NA,15,0,100,09:04:00,30C8DBAC,NA,NA,NA,NA,NA,NA,NA
76,600da08394c55c59a36aa586,APPROVED,30:40:00,13:34.9,2573.958,23,262,0,100,40:36:00,30C8DBAC,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,No
80,6010156ad2ec5f27da13ec38,APPROVED,13:14:00,31:52.2,1118.228,20,37,0,100,57:24:00,30C8DBAC,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,No
187,6010178fa0d12127e9f7dba7,APPROVED,22:23:00,54:19.4,1916.148,31,415,3,99,34:32:00,30C8DBAC,India,United Kingdom,Full-Time,Malayalam,India,Male,No
148,601017b96e566e2709df720f,APPROVED,23:05:00,50:43.9,1658.897,22,186,2,100,13:17:00,30C8DBAC,Poland,Poland,Due to start a new job within the next month,Polish,Poland,Male,Yes
224,60101a51d85f0f28ec3fd0d1,APPROVED,34:09:00,49:48.1,938.414,32,199,1,100,34:35:00,30C8DBAC,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
87,60101d5d210e4c294548a893,APPROVED,47:09:00,04:17.2,1027.295,24,302,0,100,13:26:00,30C8DBAC,Greece,Greece,Full-Time,Greek,Greece,Female,No
263,60101da55a28f60444497316,APPROVED,48:21:00,11:20.2,1378.528,20,230,3,99,34:38:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
90,60101e347f2ddf28dc1a0b9e,APPROVED,50:44:00,10:09.0,1164.917,26,164,0,100,57:27:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,No
138,60101e34fd32ee2867be5a0e,APPROVED,50:44:00,07:08.4,983.954,20,199,3,99,34:41:00,30C8DBAC,Portugal,Portugal,Part-Time,Portuguese,Portugal,Male,Yes
122,60101ec86e566e28f0c90ec0,APPROVED,53:12:00,08:32.7,920.012,NA,173,2,100,57:30:00,30C8DBAC,NA,NA,NA,NA,NA,NA,NA
204,60101f89c65133284c72c6e7,APPROVED,56:25:00,13:05.4,999.803,25,161,1,100,34:44:00,30C8DBAC,Poland,Poland,Full-Time,Polish,Poland,Male,No
202,60101f8f9bc35a2935cc0d0f,APPROVED,56:31:00,13:12.1,1000.854,22,160,2,100,34:47:00,30C8DBAC,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
123,6010206c201b2028f4a71af7,APPROVED,00:12:00,30:32.8,1820.374,23,224,1,100,34:50:00,30C8DBAC,Greece,Greece,Full-Time,Greek,Greece,Female,Yes
125,601022c800317529e99d1b01,APPROVED,10:16:00,25:41.2,924.474,24,103,0,100,57:33:00,30C8DBAC,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
200,60102409abe08e2b1a31fe5b,APPROVED,15:37:00,32:34.0,1016.322,NA,138,0,100,34:55:00,30C8DBAC,NA,NA,NA,NA,NA,NA,NA
18,60102d0e0410bb2c2774080f,APPROVED,54:06:00,14:18.1,1211.511,31,483,0,100,34:57:00,30C8DBAC,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
96,601034a94d81c32ce7455c91,APPROVED,26:33:00,42:53.5,979.656,26,220,1,100,13:29:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Female,No
177,60103654e5ae762dbe721064,APPROVED,33:40:00,51:43.4,1082.574,58,592,3,100,13:31:00,30C8DBAC,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
254,601040c7775efe307603a1f8,APPROVED,18:15:00,38:30.0,1214.734,23,167,0,100,57:36:00,30C8DBAC,Hungary,Hungary,Part-Time,Hungarian,Hungary,Male,Yes
84,60104459c513db2fda1da5a4,APPROVED,33:29:00,51:32.5,1082.636,31,48,0,100,35:01:00,30C8DBAC,Portugal,Spain,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
53,60104edd549c6a32f63b17d4,APPROVED,18:20:00,35:11.6,1010.716,26,229,2,100,35:05:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
68,601053318ab43b34695a2e7c,APPROVED,36:48:00,21:30.1,2681.411,20,145,0,100,13:32:00,30C8DBAC,Spain,Spain,Other,Spanish,Spain,Male,Yes
309,6010552dc1152032c499a943,APPROVED,45:27:00,04:45.3,1158.248,53,201,1,100,57:39:00,30C8DBAC,Guyana,Canada,DATA EXPIRED,English,Canada,Female,No
54,601062d6bbe6be36b2e50ce0,APPROVED,43:38:00,05:15.8,1296.981,23,118,2,99,13:35:00,30C8DBAC,DATA EXPIRED,Poland,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
307,601065eb27f86b37877eee9b,APPROVED,57:03:00,17:33.6,1230.235,20,77,0,100,13:36:00,30C8DBAC,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Female,DATA EXPIRED
66,601095b782846a1cf436cc50,APPROVED,20:42:00,35:06.7,864.062,24,79,2,96,35:08:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
191,6010a3f19ffb9741f155f8b6,APPROVED,21:23:00,36:59.6,935.894,32,99,1,99,57:41:00,30C8DBAC,Mexico,Mexico,Unemployed (and job seeking),Spanish,Mexico,Female,No
19,6011205c96189f0a02dd70ed,APPROVED,12:15:00,26:03.2,827.797,30,212,1,100,35:11:00,30C8DBAC,Russian Federation,Israel,Part-Time,Hebrew,Israel,Male,Yes
14,601449bb8c19b33e3bf5d146,APPROVED,45:31:00,07:33.1,1322.122,36,467,3,100,13:39:00,30C8DBAC,Russian Federation,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
41,6016b549be88ba13e031c8c8,APPROVED,54:03:00,13:19.7,1155.838,46,975,9,99,40:37:00,30C8DBAC,Germany,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
249,6016b61edf0288861307f17c,APPROVED,52:30:00,28:07.2,2136.552,28,425,1,100,40:40:00,30C8DBAC,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
245,6016b6227b72a084131bed88,APPROVED,52:48:00,08:05.2,916.579,25,176,0,100,40:41:00,30C8DBAC,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Male,No
221,6016b64eaa37e185b0a82c8a,APPROVED,53:18:00,10:49.6,1051.007,24,315,0,100,40:42:00,30C8DBAC,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
111,6016b68c38e7fb1321453cdd,APPROVED,54:20:00,23:07.7,1727.685,27,55,0,100,40:44:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
173,6016b6c1164d058562fb7e3b,APPROVED,02:28:00,34:06.7,1898.685,21,210,2,99,40:45:00,30C8DBAC,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,Poland,Female,Yes
208,6016b6d8246e5126c2c99bfc,APPROVED,57:55:00,19:16.7,1281.414,55,1481,3,100,40:46:00,30C8DBAC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
151,6016b773ed394183e48f5d0b,APPROVED,58:11:00,12:45.0,873.582,22,178,5,97,40:50:00,30C8DBAC,Austria,Austria,DATA EXPIRED,German,Austria,Male,DATA EXPIRED
57,6016b86b51078385f35513b8,APPROVED,02:19:00,37:00.2,2080.512,24,385,3,100,40:51:00,30C8DBAC,Poland,Poland,Part-Time,Polish,Poland,Female,Yes
301,6016b8cbc1146d83680c0ebc,APPROVED,04:00:00,18:45.4,885.369,30,103,3,97,40:53:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
104,6016ba12304523880943434a,APPROVED,09:27:00,26:28.5,1021.011,21,271,1,100,40:54:00,30C8DBAC,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
127,6016ba86d49fa885bd16012c,APPROVED,11:18:00,29:00.1,1062.011,24,317,2,100,40:56:00,30C8DBAC,Italy,Italy,Part-Time,Italian,Italy,Male,Yes
247,6016bc7a9c081186ca958d97,APPROVED,19:38:00,39:27.2,1188.463,41,90,0,100,40:57:00,30C8DBAC,Spain,Spain,DATA EXPIRED,Spanish,Spain,Female,DATA EXPIRED
102,6016bdd7a28c6014fd3236c8,APPROVED,25:27:00,54:24.5,1737.512,28,322,0,100,40:58:00,30C8DBAC,Italy,Italy,Part-Time,Italian,Italy,Male,No
276,6016c4e99c081185e392339e,APPROVED,56:04:00,16:39.4,1235.058,27,185,1,100,41:00:00,30C8DBAC,Greece,Greece,Full-Time,Greek,Greece,Male,No
239,6016cad839aa6415ebb1df1e,APPROVED,20:56:00,35:41.1,884.668,23,129,0,100,41:02:00,30C8DBAC,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
47,6016cb2fbb020815ed3f2b53,APPROVED,22:31:00,42:40.4,1209.179,45,469,6,97,41:03:00,30C8DBAC,Kazakhstan,Israel,Full-Time,Russian,Israel,Male,No
227,6016cb3a60a2a087a04393a8,APPROVED,22:34:00,07:40.5,2705.639,23,120,1,100,41:05:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
119,6016cb9442e035898a1d1889,APPROVED,24:22:00,40:23.7,961.354,21,488,2,100,41:07:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
109,6016cbb86a788b8700334390,APPROVED,24:40:00,41:03.8,983.115,32,661,1,100,41:09:00,30C8DBAC,Germany,Germany,DATA EXPIRED,German,Germany,Male,DATA EXPIRED
193,6016cbcc2c5733866c8866c1,APPROVED,25:00:00,45:00.4,1199.649,62,633,3,99,41:11:00,30C8DBAC,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
304,6016cbe26a788b87f2103a4d,APPROVED,25:27:00,41:54.1,986.759,27,49,0,100,41:12:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,Ireland,Male,DATA EXPIRED
79,6016ccafe0bebb1733b8dfa4,APPROVED,30:42:00,51:56.4,1273.965,45,661,0,100,41:14:00,30C8DBAC,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
218,6016cd20270fe987ddc79806,APPROVED,30:40:00,46:41.8,961.56,24,123,0,100,41:16:00,30C8DBAC,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
83,6016cd75304523896d08f054,APPROVED,32:05:00,48:26.9,981.191,28,323,0,100,41:17:00,30C8DBAC,Italy,Italy,Other,Italian,Italy,Male,Yes
27,6016cd93a469dc89b19f6dd8,APPROVED,32:54:00,49:46.2,1011.972,22,360,7,97,41:19:00,30C8DBAC,Spain,Spain,DATA EXPIRED,Spanish,Spain,Male,DATA EXPIRED
7,6016ce8aaaa96088ccc6027c,APPROVED,36:42:00,55:52.6,1150.554,27,607,1,100,41:21:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
25,6016cef2f57edd17c61449cf,APPROVED,38:26:00,31/01/2021 16:03,1505.855,33,1120,14,99,41:23:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
172,6016cf220440c2867bb6f9bf,APPROVED,39:14:00,57:53.9,1119.69,23,220,2,99,41:26:00,30C8DBAC,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
52,6016cf471fcab58630fecadb,APPROVED,39:51:00,58:37.5,1125.819,36,1624,0,100,41:27:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
291,6016cf591670718708d6ba39,APPROVED,40:24:00,58:58.1,1113.202,37,157,1,100,41:31:00,30C8DBAC,Poland,Poland,Full-Time,Polish,Poland,Female,No
260,6016d02ab88fc717abc649e0,APPROVED,49:32:00,17:21.0,1668.65,20,138,3,99,41:32:00,30C8DBAC,Poland,Poland,DATA EXPIRED,English,Poland,Female,DATA EXPIRED
36,6016d097e4c5e289440b9bf7,APPROVED,45:27:00,02:23.1,1015.773,32,1267,10,99,41:33:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
236,6016d2f3cecc008935f932e0,APPROVED,55:31:00,12:21.2,1009.793,20,110,1,99,41:37:00,30C8DBAC,Hungary,Hungary,Unemployed (and job seeking),Hungarian,Hungary,Male,No
188,6016d60b4f1e00174997a968,APPROVED,08:43:00,25:12.6,989.027,22,131,0,100,41:38:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
45,6016d78f4532648b2821592b,APPROVED,15:11:00,33:49.7,1118.654,26,149,0,100,41:39:00,30C8DBAC,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Female,DATA EXPIRED
201,6016d8bf2654fb8b2f1d8181,APPROVED,20:15:00,41:13.6,1258.461,21,84,1,100,41:41:00,30C8DBAC,Greece,Greece,DATA EXPIRED,Greek,Greece,Female,DATA EXPIRED
161,6016d8f8e0bebb17afdbd33e,APPROVED,21:12:00,41:50.3,1237.647,26,347,3,100,41:42:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
116,6016dd666648b88bb4130ec1,APPROVED,40:06:00,58:24.5,1097.91,41,691,10,98,41:43:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
290,6016def42d7cc98c4e5199c8,APPROVED,46:44:00,04:35.2,1070.393,23,147,0,100,41:46:00,30C8DBAC,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
264,6016f2fc3d3ca68c2a841023,APPROVED,12:12:00,35:58.3,1425.429,NA,49,2,97,41:49:00,30C8DBAC,NA,NA,NA,NA,NA,NA,NA
147,6016f797e8edb48cd8d1b71b,APPROVED,31:51:00,51:47.8,1196.733,34,528,1,100,41:50:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
3,6016f9bc1e8f208e2a877005,APPROVED,41:03:00,02:05.6,1262.341,33,2014,4,100,41:51:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
64,6016fc7d10933190592c1517,APPROVED,56:05:00,13:16.1,1030.496,22,242,0,100,41:57:00,30C8DBAC,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Female,Yes
110,6016fc9ee6b0ba8eee7f5961,APPROVED,53:18:00,12:30.0,1151.827,32,877,1,100,41:58:00,30C8DBAC,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
283,601700134f1e001e4c2b576f,APPROVED,08:03:00,30:51.6,1368.575,31,49,2,99,42:01:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
89,601701d5bb02081e8553fc6e,APPROVED,15:33:00,36:16.5,1243.25,NA,172,4,98,42:01:00,30C8DBAC,Italy,Italy,Unemployed (and job seeking),Italian,Italy,Male,DATA EXPIRED
21,601705a82c57338e8180019b,APPROVED,31:52:00,48:50.4,1017.837,40,299,5,98,42:03:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
250,60170c6c4f1e001dfe72d5fa,APPROVED,00:44:00,07:03.6,3979.499,28,106,1,100,42:04:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
75,601714fa04904a945f1b5279,APPROVED,37:14:00,53:49.2,994.556,24,439,2,100,42:05:00,30C8DBAC,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
140,601718350ad8cc910dddd382,APPROVED,51:01:00,11:13.3,1211.446,22,219,4,98,42:07:00,30C8DBAC,Mexico,Mexico,DATA EXPIRED,Spanish,Mexico,Male,DATA EXPIRED
278,601719f12b7ef32128fd723f,APPROVED,58:25:00,15:08.4,1003.126,31,1186,1,100,42:09:00,30C8DBAC,United States,United States,Full-Time,English,United States,Female,No
62,6017270f6f7aec938fd2af68,APPROVED,54:23:00,18:52.1,1468.521,27,241,4,98,42:11:00,30C8DBAC,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,No
124,60172d5dbe88ba2513a46042,APPROVED,21:17:00,38:53.0,1055.242,23,93,2,98,42:12:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Female,DATA EXPIRED
299,60172d92b88fc7240fb4ba68,APPROVED,22:10:00,41:40.0,1169.496,28,239,0,100,42:13:00,30C8DBAC,Nigeria,United Kingdom,DATA EXPIRED,English,Nigeria,Male,DATA EXPIRED
46,601737285f44c7986d0485fe,APPROVED,03:04:00,27:39.4,1475.148,53,1418,4,100,42:14:00,30C8DBAC,United States,United States,Part-Time,English,United States,Female,No
251,60173f010be393988917ae93,APPROVED,36:33:00,54:37.9,1084.313,28,177,2,100,42:18:00,30C8DBAC,Italy,Italy,DATA EXPIRED,Italian,Italy,Male,DATA EXPIRED
235,60173f9111f94797da7262ad,APPROVED,39:00:00,03:39.5,1479.086,26,373,2,99,42:19:00,30C8DBAC,Macao,United Kingdom,Full-Time,Chinese,United Kingdom,Male,No
209,601750ee0be3939914d21950,APPROVED,53:02:00,13:54.3,1252.201,32,436,0,100,42:21:00,30C8DBAC,Canada,Canada,Part-Time,English,Canada,Male,DATA EXPIRED
192,60177a5e3d3ca69b80992d16,APPROVED,49:50:00,14:21.5,1471.212,22,63,2,98,42:22:00,30C8DBAC,Mexico,Mexico,Other,Spanish,Mexico,Female,Yes
266,6017bbbcf721c1a35c871c36,APPROVED,28:44:00,56:52.0,1687.175,20,70,2,97,42:23:00,30C8DBAC,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
60,6017c6b4453264a467dbc7c6,APPROVED,16:20:00,31:28.1,907.875,34,124,1,100,42:24:00,30C8DBAC,Mexico,Spain,Full-Time,Spanish,Mexico,Male,No
142,6017d74256f32ea60be288da,APPROVED,26:10:00,01:53.1,2142.717,47,265,0,100,42:28:00,30C8DBAC,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
