subject,n,total,proportion_flatline
2,1,97,0.010309278350515464
17,1,94,0.010638297872340425
19,1,115,0.008695652173913044
33,5,118,0.0423728813559322
35,2,120,0.016666666666666666
38,2,98,0.02040816326530612
42,14,96,0.14583333333333334
46,12,116,0.10344827586206896
57,16,99,0.16161616161616163
76,1,105,0.009523809523809525
79,1,116,0.008620689655172414
88,15,96,0.15625
95,45,118,0.3813559322033898
104,2,117,0.017094017094017096
105,12,91,0.13186813186813187
112,34,108,0.3148148148148148
115,1,106,0.009433962264150943
117,1,108,0.009259259259259259
124,6,112,0.05357142857142857
133,10,120,0.08333333333333333
135,2,100,0.02
141,1,117,0.008547008547008548
164,14,111,0.12612612612612611
175,16,115,0.1391304347826087
177,2,106,0.018867924528301886
180,3,105,0.02857142857142857
182,2,114,0.017543859649122806
184,38,117,0.3247863247863248
187,1,118,0.00847457627118644
189,2,115,0.017391304347826087
195,60,106,0.5660377358490566
205,1,99,0.010101010101010102
211,1,113,0.008849557522123894
212,5,119,0.04201680672268908
213,8,95,0.08421052631578947
220,26,117,0.2222222222222222
225,2,97,0.020618556701030927
232,56,113,0.49557522123893805
240,1,106,0.009433962264150943
242,28,115,0.24347826086956523
245,6,91,0.06593406593406594
251,31,114,0.2719298245614035
252,47,119,0.3949579831932773
254,1,107,0.009345794392523364
259,2,112,0.017857142857142856
264,1,109,0.009174311926605505
273,3,99,0.030303030303030304
279,2,114,0.017543859649122806
289,5,118,0.0423728813559322
292,3,110,0.02727272727272727
298,1,119,0.008403361344537815
305,1,118,0.00847457627118644
308,2,110,0.01818181818181818
309,1,119,0.008403361344537815
319,1,105,0.009523809523809525
321,6,113,0.05309734513274336
325,31,117,0.26495726495726496
326,5,118,0.0423728813559322
327,1,92,0.010869565217391304
