subject,regression_coef,value
1,X1o,0.36502469939844
1,X2o,0.1945994030978955
1,X3o,0.06224576996710775
1,X1mo,0.06740609291847435
1,X2mo,-0.01740418061024415
1,X3mo,0.0018585495722929098
2,X1o,0.21339234711675997
2,X2o,0.05267008494750225
2,X3o,-0.05119069553682975
2,X1mo,-0.038666600922227796
2,X2mo,0.028868637853356804
2,X3mo,0.0428158843595786
3,X1o,0.0938711772693
3,X2o,0.045030530385900894
3,X3o,0.01219770620704115
3,X1mo,0.03681146174722995
3,X2mo,0.029313359187824826
3,X3mo,0.0029168763019186035
4,X1o,0.903132098643474
4,X2o,0.04967896370541393
4,X3o,0.04042307750796266
4,X1mo,0.0554603580518568
4,X2mo,0.03008025923205505
4,X3mo,-0.0017182960910982448
5,X1o,0.2594737430086475
5,X2o,0.178047460614995
5,X3o,-0.001982630617672995
5,X1mo,-0.129347654912937
5,X2mo,-0.03994553888583516
5,X3mo,-0.08537850318880245
6,X1o,0.04888718077610782
6,X2o,-0.022620621293177295
6,X3o,0.02718359964239005
6,X1mo,0.0067096828523872006
6,X2mo,-0.01998659515307163
6,X3mo,-0.012310660685920481
7,X1o,0.2098692254965355
7,X2o,0.024099534053221454
7,X3o,0.06132154493363995
7,X1mo,-0.014541411816511229
7,X2mo,0.0124649477613258
7,X3mo,0.0014406495745561748
8,X1o,0.014257476363156399
8,X2o,0.03098449488208299
8,X3o,0.025738538802615202
8,X1mo,-0.02249327547977402
8,X2mo,-0.0013563672305560298
8,X3mo,0.01427270285528864
9,X1o,0.784320462047207
9,X2o,0.241482572384735
9,X3o,0.06662750313078944
9,X1mo,0.09244773482340994
9,X2mo,0.044713544749668155
9,X3mo,0.010313918960989248
10,X1o,0.410552756306496
10,X2o,0.1251129779406884
10,X3o,-0.0159483969744909
10,X1mo,0.0333978723916031
10,X2mo,0.06496448577025325
10,X3mo,0.021317903556150493
11,X1o,0.35952272651044803
11,X2o,0.19926368142415
11,X3o,0.2735420321273355
11,X1mo,0.03161570977694445
11,X2mo,0.0844420597163848
11,X3mo,0.0106229302951262
12,X1o,0.07468902689383616
12,X2o,0.0772974461856038
12,X3o,0.0668139462285952
12,X1mo,0.00828755448925897
12,X2mo,-4.913023418190998e-4
12,X3mo,0.007916996998901445
13,X1o,0.13711296289484626
13,X2o,0.02834324591128795
13,X3o,0.010587414033682005
13,X1mo,0.025827736823215347
13,X2mo,0.0217805493950456
13,X3mo,0.02308157685108688
14,X1o,0.487844357142049
14,X2o,0.1583125708912935
14,X3o,0.134434034044765
14,X1mo,0.0341691484025
14,X2mo,0.022879969120883942
14,X3mo,-0.0026412472080174516
15,X1o,0.13290823540559735
15,X2o,0.0539844088180362
15,X3o,0.07819876452688285
15,X1mo,-0.0086972165629773009
15,X2mo,-0.008428441839887599
15,X3mo,-0.02258764937592895
16,X1o,0.3550519706778035
16,X2o,0.08506555575917671
16,X3o,0.0123792841176312
16,X1mo,0.037030904443698234
16,X2mo,0.03921378596018815
16,X3mo,-0.00264557806152754
17,X1o,0.08953461988031006
17,X2o,0.0928557777719007
17,X3o,0.10163946401304362
17,X1mo,0.0656881883570311
17,X2mo,0.0384061942130674
17,X3mo,-0.005916431127526798
18,X1o,0.6053055238029915
18,X2o,0.1148580850437455
18,X3o,0.03373897268204675
18,X1mo,0.0265506852453868
18,X2mo,-0.0238647917322978
18,X3mo,-0.017138515060857548
19,X1o,0.08725710267927994
