subject,regression_coef,value
1,X1,0.710692920623323
1,X2,0.392503642875133
1,X3,0.163573526857088
2,X1,0.150062285931735
2,X2,0.236505577784455
2,X3,0.037237442429755
3,X1,0.0678966591423158
3,X2,0.0274495930015387
3,X3,0.0284423362975227
4,X1,1.90810476937994
4,X2,0.300760275483002
4,X3,0.0395410249823942
5,X1,0.681235505199995
5,X2,0.951858639216837
5,X3,0.296704285453967
6,X1,0.180943699905956
6,X2,0.14011067279309
6,X3,0.128841074136957
7,X1,0.37589073441376997
7,X2,0.0715569808194921
7,X3,0.11235558135044471
8,X1,0.00382064626075506
8,X2,0.118212634115569
8,X3,0.140579680918176
9,X1,1.76989921040421
9,X2,0.352945349984196
9,X3,-0.084537078491323
10,X1,0.790468628645579
10,X2,0.340684089719146
10,X3,-0.0292424324063372
11,X1,0.509726335723701
11,X2,0.108877511881668
11,X3,0.264076856706087
12,X1,0.155481033103092
12,X2,0.101563605409938
12,X3,0.176233806186805
13,X1,0.198228440508259
13,X2,0.210337819607025
13,X3,0.209793140827547
14,X1,0.836883907566821
14,X2,0.345619050819862
14,X3,0.218332806027923
15,X1,0.144256120135227
15,X2,0.11164583848705
15,X3,0.0373407965043816
16,X1,0.36946209727957
16,X2,0.380610765222154
16,X3,0.181881220406495
17,X1,0.0466418335961079
17,X2,0.080202649532296
17,X3,-0.0657267862344656
18,X1,1.1883670940328441
18,X2,0.228584860327086
18,X3,0.031192630212944703
19,X1,0.227607828857583
19,X2,0.113684856555578
19,X3,-0.00126129502377882
20,X1,1.07999906372903
20,X2,0.269645526266364
20,X3,0.1384129076750954
21,X1,0.452775646515186
21,X2,0.1982793453582295
21,X3,0.1326100352270615
22,X1,2.24683647585885
22,X2,0.242397682015262
22,X3,0.352626230449496
23,X1,0.269759071145657
23,X2,0.494340036530848
23,X3,0.27724980407008
24,X1,0.359417058886298
24,X2,0.133021068290837
24,X3,0.284811396707679
25,X1,0.352137222820879
25,X2,0.15501966000524
25,X3,0.0623474734134782
26,X1,0.246087244743727
26,X2,0.310248144723645
26,X3,0.362314365050993
27,X1,0.00394217011223764
27,X2,-0.0900682138429815
27,X3,0.113189102078004
28,X1,1.5825338350835452
28,X2,0.390585146702218
28,X3,0.26167882094455397
29,X1,0.488185475758543
29,X2,0.4500113836776
29,X3,0.394006380782481
30,X1,0.592335756573874
30,X2,0.246600532302328
30,X3,0.104486594522701
31,X1,0.0494913083095847
31,X2,0.0394366113738398
31,X3,0.0540960388131936
32,X1,1.29782267443838
32,X2,0.221035936568366
32,X3,0.149566370333326
33,X1,-0.19323208989767
33,X2,-0.118350655002522
33,X3,-0.0870572563003877
34,X1,0.180848207028217
34,X2,0.0848823884279213
34,X3,0.0976607385138408
35,X1,0.395512149730797
35,X2,0.278018806647071
35,X3,0.194580063942549
36,X1,1.64273354917579
36,X2,0.414827332341765
36,X3,0.142630659654994
37,X1,1.11086632886757
37,X2,0.257967695570551
37,X3,0.198138865685083
38,X1,0.0178451941402049
38,X2,-0.0782074022303118
38,X3,0.00843675931379921
39,X1,-0.0486342960279251
39,X2,0.120538775434918
39,X3,0.129896224984932
40,X1,0.187561761654044
40,X2,-0.221619435004219
40,X3,0.115934670128289
41,X1,0.473089875444066
41,X2,0.16335577451215
41,X3,0.0848053673314187
42,X1,0.295258328578285
42,X2,0.150275769523243
42,X3,0.0776131239262641
43,X1,1.8960618759767
43,X2,0.432383115364508
43,X3,-0.056086709948513
44,X1,0.687176214396901
44,X2,0.181722754732912
44,X3,-0.0726152167560148
45,X1,0.288036973117977
45,X2,0.266948814516184
45,X3,0.0937575395725322
46,X1,0.17077505452140201
46,X2,0.0949371681084812
46,X3,-0.048528225261054284
47,X1,0.210538744473109
47,X2,0.145237470758974
47,X3,0.102618902301614
48,X1,1.3622592749114
48,X2,0.569907452590772
48,X3,0.281902417373589
49,X1,0.342108343563876
49,X2,0.128995760851729
49,X3,0.0674973725335323
50,X1,8.878822309401239e-16
50,X2,-2.09958804968368e-16
50,X3,-8.02308855744241e-16
51,X1,0.7431610127320125
51,X2,0.510710791531729
51,X3,0.267920899632615
52,X1,0.471305866166764
52,X2,0.0785068232683124
52,X3,-0.0403172685601273
53,X1,0.012500472053303902
53,X2,0.0117979150804427
53,X3,-0.0031499372921208997
54,X1,0.0367938891265754
54,X2,0.0366849127568997
54,X3,0.0162534331292319
55,X1,0.0193277879186652
55,X2,0.159409757127432
55,X3,0.0730054230187183
56,X1,0.208436948161035
56,X2,0.0243905143641254
56,X3,0.0158674130471778
57,X1,0.2407051768467085
57,X2,0.06422503945989935
57,X3,0.0287032687157247
58,X1,0.86312412622113
