subject,regression_coef,value
1,X1_sum,0.76388050995509
1,X2_sum,0.406188456706454
1,X3_sum,0.141859363085866
2,X1_sum,0.408815558648448
2,X2_sum,0.11772712754622865
2,X3_sum,0.049994534160202844
3,X1_sum,0.14357189082603425
3,X2_sum,0.0934647432064942
3,X3_sum,0.1152233993671615
4,X1_sum,1.7700446066589701
4,X2_sum,0.1870298740743071
4,X3_sum,0.22941170767260877
5,X1_sum,0.5430798659732005
5,X2_sum,0.258063181491699
5,X3_sum,0.13934166855459584
6,X1_sum,0.10369669151446939
6,X2_sum,0.01167365112341201
6,X3_sum,0.09944488627851344
7,X1_sum,0.3759220875341245
7,X2_sum,0.0485853763455113
7,X3_sum,0.10512066276224655
8,X1_sum,-0.0194795319353298
8,X2_sum,0.06371816726413265
8,X3_sum,0.06525710659042196
9,X1_sum,1.57403691355697
9,X2_sum,0.5180471228522305
9,X3_sum,0.055778184466704496
10,X1_sum,0.749141254725865
10,X2_sum,0.294033432267582
10,X3_sum,0.03247458805919839
11,X1_sum,0.84386966677549
11,X2_sum,0.34884328073763404
11,X3_sum,0.3970047436779435
12,X1_sum,0.15679480510764449
12,X2_sum,0.1375853799699145
12,X3_sum,0.1262491545203765
13,X1_sum,0.28878707896131
13,X2_sum,0.057019716789947994
13,X3_sum,0.08751465782905829
14,X1_sum,0.900369851965868
14,X2_sum,0.37844963625571604
14,X3_sum,0.211840329248073
15,X1_sum,0.255911493300757
15,X2_sum,0.11353745928627265
15,X3_sum,0.11153552980587943
16,X1_sum,0.7733072995216695
16,X2_sum,0.31282518323785347
16,X3_sum,2.146332297189857e-5
17,X1_sum,0.2052012921162016
17,X2_sum,0.1428310734680956
17,X3_sum,0.1240184042489835
18,X1_sum,1.165087747331151
18,X2_sum,0.1940702955911685
18,X3_sum,-0.049530284147739106
19,X1_sum,0.149515613212871
19,X2_sum,0.10401939357695165
19,X3_sum,0.0514811307996431
20,X1_sum,1.115297590691975
20,X2_sum,0.354348562152017
20,X3_sum,0.17219793149338725
21,X1_sum,0.498920793645507
21,X2_sum,0.20631320625628
21,X3_sum,0.1250550949159248
22,X1_sum,2.32767737924946
22,X2_sum,0.274472613626752
22,X3_sum,0.13316653600617845
23,X1_sum,0.693116050691139
