subject,run,mu,s,vmu,kmu,vs,trial_id,day_block,moodrate,max_moodrate,min_moodrate,mu_orig,subj_day_block
1,d1r1,0.500000000000002,-1.15129254649702,-1.15129254649702,-2.64915868327402,-1.15129254649702,1,day1_block1,4,7,2,5.0000000000000195,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.430756899243654,-1.71455674193429,-1.15129254649702,-2.64915868327402,-1.15129254649702,2,day1_block1,3,7,2,4.30756899243654,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.372736556711059,-0.935013266462904,-1.88460104183955,-2.63980178294237,-0.767036339961472,3,day1_block1,4,7,2,3.72736556711059,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.392754313508613,-1.29990944479584,-3.15992052907485,-3.22497494752045,0.588763817998423,4,day1_block1,5,7,2,3.92754313508613,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.419949704148707,-1.08647054851503,-3.08138385389969,-3.42398041027815,-0.247583508941013,5,day1_block1,6,7,2,4.199497041487071,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.505392936491676,-1.15906932487553,-2.21924280488354,-3.35263374917798,-1.04117784030654,6,day1_block1,6,7,2,5.05392936491676,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.571706601599511,-1.59719837620129,-1.60501011334328,-3.06912299486672,-1.11768672655045,7,day1_block1,6,7,2,5.71706601599511,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.592352491533074,-1.98341792955004,-1.63866442216113,-2.53347588060448,-0.606863523787635,8,day1_block1,4,7,2,5.92352491533074,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.454601468382374,-1.6690598916951,-1.47952480358415,-3.04214552454807,-0.784072823163418,9,day1_block1,6,7,2,4.546014683823739,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.573813143513107,-1.51654215793797,-1.89848865738671,-2.71574362278438,0.132370674164772,10,day1_block1,5,7,2,5.73813143513107,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.524644783333913,-1.16724706143669,-2.23247424359401,-3.70930790141778,-1.60418318606605,11,day1_block1,4,7,2,5.246447833339129,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.451906555057819,-1.25831873344953,-2.28898946129803,-4.44420569036929,-2.40763863497803,12,day1_block1,5,7,2,4.5190655505781905,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.482619193192855,-1.11887521415698,-2.80693250138122,-4.68234668184554,-3.37904644187572,13,day1_block1,6,7,2,4.82619193192855,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.533111569781024,-1.17069190814956,-2.74150810724272,-4.72731652999139,-3.36664936140104,14,day1_block1,7,7,2,5.33111569781024,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.615776694142899,-1.23093885653963,-2.05566365175546,-4.98274860174223,-3.44899871066901,15,day1_block1,6,7,2,6.15776694142899,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.58805560934001,-1.3257990718664,-2.10162464096268,-4.94442220203303,-3.17639956905532,16,day1_block1,6,7,2,5.8805560934001,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.591957209279888,-1.50943191547923,-2.21524826751779,-4.69811413985357,-2.24995985972301,17,day1_block1,6,7,2,5.91957209279888,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.598398330766573,-1.71759761267057,-2.66510318529628,-4.16904318131703,-0.747551979787908,18,day1_block1,5,7,2,5.98398330766573,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.547366170372282,-1.33312377252144,-2.3826842579916,-4.71532336533505,-2.48786973644117,19,day1_block1,4,7,2,5.4736617037228195,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.46098285070369,-1.46729327066808,-1.96436075318024,-5.19677624068205,-3.32465448565531,20,day1_block1,5,7,2,4.6098285070369,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.50067053532612,-1.33062895202041,-2.20181585190372,-5.24621651239949,-3.86366972046143,21,day1_block1,5,7,2,5.0067053532612,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.506289295438062,-1.33038630179657,-2.28058621918465,-5.25846217077359,-4.03831625133005,22,day1_block1,4,7,2,5.0628929543806205,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.449732486655011,-1.39692636358874,-2.02830473743262,-5.39567439725593,-4.06007956730841,23,day1_block1,3,7,2,4.49732486655011,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.350507052524769,-1.52132280191206,-1.45924995295137,-5.64683336655478,-4.0793765913505204,24,day1_block1,4,7,2,3.5050705252476897,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.394132249469422,-1.55128496935939,-1.44449004210794,-5.6711739422862,-4.06685089035267,25,day1_block1,4,7,2,3.94132249469422,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.399080816958322,-1.6743782845282,-1.39367738285636,-5.68399570283383,-3.91748224142689,26,day1_block1,4,7,2,3.99080816958322,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.398986283148284,-1.86201347102035,-1.38145276880144,-5.63568453870215,-3.5605705844906,27,day1_block1,3,7,2,3.98986283148284,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.331208163016233,-1.66365809075593,-1.32714664252757,-5.72713019025917,-3.99480900014597,28,day1_block1,4,7,2,3.3120816301623304,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.384171627113676,-1.69505627352122,-1.37497668347018,-5.67237684303256,-3.90169719961465,29,day1_block1,3,7,2,3.8417162711367596,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.326808257021709,-1.6010904614158,-1.36743976084022,-5.72550743474291,-4.12138360280759,30,day1_block1,3,7,2,3.26808257021709,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.311453289671861,-1.6094994057493,-1.36725641926763,-5.74893869894816,-4.1786846973203,31,day1_block1,2,7,2,3.1145328967186097,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.230408662691218,-1.62188501833137,-1.28305457931159,-5.84569313732784,-4.21979163085269,32,day1_block1,6,7,2,2.3040866269121802,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.417026753053955,-0.866909406378481,-1.37617711464041,-5.30446937419143,-3.02631583973687,33,day1_block1,5,7,2,4.17026753053955,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.452633017027837,-1.02197895970081,-1.41467195649117,-5.42681413825322,-3.47657901370499,34,day1_block1,5,7,2,4.52633017027837,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.474669040504564,-1.12445666488695,-1.43538283497762,-5.52067663715655,-3.74321510560408,35,day1_block1,4,7,2,4.74669040504564,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.429568853530422,-1.15609848889886,-1.50156085139859,-5.5608749422346,-3.82926737192555,36,day1_block1,4,7,2,4.29568853530422,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.413991330705514,-1.26605160059603,-1.51814048667704,-5.57639623681829,-3.77485279192105,37,day1_block1,4,7,2,4.13991330705514,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.406021575946605,-1.48920636758161,-1.54599611892551,-5.52542700105153,-3.39832427976258,38,day1_block1,7,7,2,4.0602157594660495,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.551865636209976,-0.989487004196994,-1.56450440305777,-5.47867639088758,-3.61929521195107,39,day1_block1,6,7,2,5.51865636209976,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.569882295913274,-1.09926847479302,-1.46970042194065,-5.62479585880453,-3.87017460184174,40,day1_block1,6,7,2,5.69882295913274,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.583681095374239,-1.20770627723911,-1.40490384202139,-5.69050796100134,-3.9175059897846,41,day1_block1,5,7,2,5.83681095374239,55057a56fdf99b5b566a70bb_day1_block1
1,d1r1,0.533561626259593,-1.15557428947088,-1.47428748690182,-5.71689853855277,-4.06424725144543,42,NA,NA,NA,NA,5.335616262595931,55057a56fdf99b5b566a70bb_NA
1,d2r1,0.500000000000002,-1.15129254649702,-1.15129254649702,-2.64915868327402,-1.15129254649702,1,day2_block1,5,7,3,5.0000000000000195,55057a56fdf99b5b566a70bb_day2_block1
1,d2r1,0.5,-0.586268253138013,-1.15129254649702,-2.64915868327402,-1.15129254649702,2,day2_block1,5,7,3,5,55057a56fdf99b5b566a70bb_day2_block1
