subject,day_block,Mood.Index,outcome1b,outcome2b,outcome3b,outcome4b,outcome5b,outcome6b,outcome7b,outcome8b,outcome9b,outcome1bo,outcome2bo,outcome3bo,outcome4bo,outcome5bo,outcome6bo,outcome7bo,outcome8bo,outcome9bo,outcome_mag1b,outcome_mag2b,outcome_mag3b,outcome_mag4b,outcome_mag5b,outcome_mag6b,outcome_mag7b,outcome_mag8b,outcome_mag9b,outcome_magnitude1b,outcome_magnitude2b,outcome_magnitude3b,outcome_magnitude4b,outcome_magnitude5b,outcome_magnitude6b,outcome_magnitude7b,outcome_magnitude8b,outcome_magnitude9b,component,Trial.Index,moodrate_scaled,moodrate,Index,day,block,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,wofoutcome2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff,day_block2,block_type,max_moodrate,min_moodrate
263,day1_block1,1,1,0,0,NA,NA,NA,NA,NA,NA,1,-1,-1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,moodrate,3,-0.804419674948639,3,2,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,2,1,0,1,1,0,0,NA,NA,NA,1,-1,1,1,-1,-1,NA,NA,NA,0,0,-4,0,0,0,NA,NA,NA,5,0,1,5,0,0,NA,NA,NA,moodrate,6,-0.2308334719417833,4,3,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,3,1,0,1,1,0,1,1,0,0,1,-1,1,1,-1,1,1,-1,-1,4,0,4,0,0,-4,0,0,0,9,0,9,5,0,1,5,0,0,moodrate,9,0.3427527310650723,5,4,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,4,1,0,1,1,0,1,1,0,1,1,-1,1,1,-1,1,1,-1,1,2,0,-1,4,0,4,0,0,-4,7,0,4,9,0,9,5,0,1,moodrate,12,0.9163389340719279,6,5,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,5,1,1,1,1,0,1,1,0,1,1,1,1,1,-1,1,1,-1,1,0,0,3,2,0,-1,4,0,4,5,5,8,7,0,4,9,0,9,moodrate,15,0.9163389340719279,6,6,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,6,1,1,0,1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,1,4,1,0,0,0,3,2,0,-1,9,6,0,5,5,8,7,0,4,moodrate,18,1.4899251370787836,7,7,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,7,0,0,1,1,1,0,1,1,1,-1,-1,1,1,1,-1,1,1,1,0,0,1,4,1,0,0,0,3,0,0,6,9,6,0,5,5,8,moodrate,21,0.3427527310650723,5,8,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,8,1,0,0,0,0,1,1,1,0,1,-1,-1,-1,-1,1,1,1,-1,0,0,0,0,0,1,4,1,0,5,0,0,0,0,6,9,6,0,moodrate,24,0.3427527310650723,5,9,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,9,0,1,0,1,0,0,0,0,1,-1,1,-1,1,-1,-1,-1,-1,1,0,3,0,0,0,0,0,0,1,0,8,0,5,0,0,0,0,6,moodrate,27,0.3427527310650723,5,10,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,10,1,1,1,0,1,0,1,0,0,1,1,1,-1,1,-1,1,-1,-1,3,3,5,0,3,0,0,0,0,8,8,10,0,8,0,5,0,0,moodrate,30,1.4899251370787836,7,11,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,11,0,0,0,1,1,1,0,1,0,-1,-1,-1,1,1,1,-1,1,-1,0,0,0,3,3,5,0,3,0,0,0,0,8,8,10,0,8,0,moodrate,33,0.3427527310650723,5,12,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
263,day1_block1,12,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,8,8,10,moodrate,36,-0.2308334719417833,4,13,1,1,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1,loseday_block1,before_loss,7,3
