subject,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,wofoutcome2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff
272,2020-12-24T12:10:57Z,Winsec,0,2020-12-26T15:37:20Z,1,2020-12-24,2020-12-26,2
20,2020-12-24T12:24:18Z,Winfirst,1,2020-12-26T16:12:19Z,0,2020-12-24,2020-12-26,2
212,2020-12-24T15:56:00Z,Winfirst,1,2020-12-26T14:15:06Z,0,2020-12-24,2020-12-26,2
234,2020-12-24T15:05:01Z,Winfirst,1,2020-12-26T13:22:12Z,0,2020-12-24,2020-12-26,2
214,2020-12-24T18:29:50Z,Winfirst,1,2020-12-26T16:10:43Z,0,2020-12-24,2020-12-26,2
243,2020-12-25T16:30:40Z,Winsec,0,2020-12-26T22:01:57Z,1,2020-12-25,2020-12-26,1
76,2021-01-23T15:14:29Z,Winsec,0,2021-01-24T18:45:46Z,1,2021-01-23,2021-01-24,1
138,2021-01-25T17:01:46Z,Winfirst,1,2021-01-26T13:59:59Z,0,2021-01-25,2021-01-26,1
66,2021-01-25T18:08:31Z,Winfirst,1,2021-01-26T23:28:41Z,0,2021-01-25,2021-01-26,1
202,2021-01-25T18:08:31Z,Winfirst,1,2021-01-26T15:05:52Z,0,2021-01-25,2021-01-26,1
309,2021-01-25T12:37:01Z,Winfirst,1,2021-01-26T12:55:41Z,0,2021-01-25,2021-01-26,1
204,2021-01-25T18:49:24Z,Winfirst,1,2021-01-26T15:05:43Z,0,2021-01-25,2021-01-26,1
148,2021-01-25T20:58:32Z,Winfirst,1,2021-01-26T14:44:04Z,0,2021-01-25,2021-01-26,1
307,2021-01-25T23:42:14Z,Winsec,0,2021-01-26T13:08:04Z,1,2021-01-25,2021-01-26,1
14,2021-01-27T11:14:59Z,Winfirst,1,2021-01-29T17:58:07Z,0,2021-01-27,2021-01-29,2
206,2021-01-30T01:13:09Z,Winsec,0,2021-02-03T22:58:28Z,1,2021-01-30,2021-02-03,4
27,2021-01-30T12:58:13Z,Winfirst,1,2021-01-31T16:42:06Z,0,2021-01-30,2021-01-31,1
111,2021-01-30T13:02:06Z,Winsec,0,2021-01-31T15:15:48Z,1,2021-01-30,2021-01-31,1
264,2021-01-30T12:02:48Z,Winfirst,1,2021-01-31T18:26:02Z,0,2021-01-30,2021-01-31,1
47,2021-01-30T13:58:32Z,Winfirst,1,2021-01-31T17:34:06Z,0,2021-01-30,2021-01-31,1
41,2021-01-30T12:11:52Z,Winsec,0,2021-01-31T14:03:58Z,1,2021-01-30,2021-01-31,1
79,2021-01-30T12:11:53Z,Winfirst,1,2021-01-31T15:43:10Z,0,2021-01-30,2021-01-31,1
251,2021-01-30T13:16:50Z,Winsec,0,2021-02-01T00:46:45Z,1,2021-01-30,2021-02-01,2
52,2021-01-30T12:23:08Z,Winfirst,1,2021-01-31T15:47:19Z,0,2021-01-30,2021-01-31,1
7,2021-01-30T12:33:17Z,Winfirst,1,2021-01-31T15:47:23Z,0,2021-01-30,2021-01-31,1
183,2021-01-30T13:39:57Z,Winsec,0,2021-02-04T16:46:28Z,1,2021-01-30,2021-02-04,5
124,2021-01-30T13:42:21Z,Winfirst,1,2021-01-31T23:31:20Z,0,2021-01-30,2021-01-31,1
249,2021-01-30T13:45:51Z,Winfirst,1,2021-01-31T15:20:54Z,0,2021-01-30,2021-01-31,1
193,2021-01-30T12:46:30Z,Winsec,0,2021-01-31T15:35:27Z,1,2021-01-30,2021-01-31,1
283,2021-01-30T13:52:02Z,Winfirst,1,2021-01-31T20:22:54Z,0,2021-01-30,2021-01-31,1
89,2021-01-30T13:57:43Z,Winfirst,1,2021-01-31T20:27:06Z,0,2021-01-30,2021-01-31,1
211,2021-01-30T13:01:04Z,Winsec,0,2021-02-01T17:55:48Z,1,2021-01-30,2021-02-01,2
173,2021-01-30T14:15:18Z,Winsec,0,2021-01-31T15:29:15Z,1,2021-01-30,2021-01-31,1
25,2021-01-30T13:05:09Z,Winsec,0,2021-01-31T15:55:24Z,1,2021-01-30,2021-01-31,1
208,2021-01-30T08:26:39Z,Winfirst,1,2021-01-31T09:07:36Z,0,2021-01-30,2021-01-31,1
247,2021-01-30T14:27:39Z,Winfirst,1,2021-01-31T15:31:20Z,0,2021-01-30,2021-01-31,1
109,2021-01-30T14:33:42Z,Winfirst,1,2021-01-31T16:34:02Z,0,2021-01-30,2021-01-31,1
301,2021-01-30T13:34:02Z,Winfirst,1,2021-01-31T14:11:41Z,0,2021-01-30,2021-01-31,1
83,2021-01-30T15:00:02Z,Winsec,0,2021-01-31T16:40:37Z,1,2021-01-30,2021-01-31,1
290,2021-01-30T14:34:46Z,Winsec,0,2021-01-31T16:56:59Z,1,2021-01-30,2021-01-31,1
172,2021-01-30T14:52:02Z,Winfirst,1,2021-01-31T15:49:59Z,0,2021-01-30,2021-01-31,1
236,2021-01-30T16:08:10Z,Winsec,0,2021-01-31T17:04:57Z,1,2021-01-30,2021-01-31,1
147,2021-01-30T15:19:31Z,Winfirst,1,2021-01-31T18:42:29Z,0,2021-01-30,2021-01-31,1
227,2021-01-30T16:28:44Z,Winfirst,1,2021-01-31T17:00:35Z,0,2021-01-30,2021-01-31,1
131,2021-01-30T15:28:56Z,Winsec,0,2021-02-01T14:40:52Z,1,2021-01-30,2021-02-01,2
110,2021-01-30T11:18:56Z,Winfirst,1,2021-01-31T13:04:15Z,0,2021-01-30,2021-01-31,1
201,2021-01-30T19:35:22Z,Winfirst,1,2021-01-31T18:31:25Z,0,2021-01-30,2021-01-31,1
266,2021-01-30T21:50:21Z,Winsec,0,2021-02-01T09:48:03Z,1,2021-01-30,2021-02-01,2
