Trial.Index,tree1info,tree2info,tree1mag,tree2mag
1,0,0,9,2
2,1,0,5,8
3,1,0,5,3
4,1,1,1,1
5,1,0,1,4
6,0,1,3,5
7,1,0,9,5
8,1,0,5,3
9,1,1,4,9
10,1,0,4,0
11,1,0,7,9
12,1,0,7,5
13,1,1,8,6
14,1,1,3,5
15,1,1,6,5
16,1,0,7,7
17,1,1,6,1
18,1,0,9,1
19,1,0,6,2
20,0,0,1,0
21,0,0,9,4
22,1,0,6,5
23,1,0,9,8
24,1,1,5,6
25,0,1,7,2
26,1,0,8,1
27,0,0,1,0
28,1,1,10,4
29,0,1,7,8
30,0,1,8,8
31,0,1,9,5
32,0,0,1,2
33,0,1,9,4
34,0,1,6,5
35,0,1,10,6
36,0,1,2,2
37,0,1,7,8
38,0,1,8,7
39,0,1,8,3
40,0,1,1,8
41,0,1,1,4
42,1,0,4,6
43,0,1,9,4
44,0,1,5,7
45,0,1,4,7
46,0,1,0,1
47,1,1,8,7
48,0,1,4,3
49,0,0,8,7
50,1,0,6,5
51,1,1,2,9
52,0,1,6,1
53,0,1,8,8
54,0,1,5,8
55,0,1,2,1
56,0,1,9,4
57,0,1,9,1
58,0,1,8,8
59,0,1,9,6
60,0,0,8,8
61,1,0,9,1
62,0,0,4,2
63,0,1,2,3
64,1,0,2,10
65,1,0,3,7
66,0,0,9,4
67,0,0,4,3
68,1,1,9,2
69,0,0,3,6
70,0,1,8,7
71,0,1,8,1
72,1,1,5,6
73,1,1,5,1
74,1,0,5,5
75,1,0,4,3
76,1,0,8,1
77,0,0,5,2
78,1,0,8,6
79,1,0,8,9
80,0,1,0,4
81,1,0,9,4
82,1,0,3,1
83,0,0,9,5
84,0,0,8,9
85,1,0,1,8
86,0,0,5,10
87,1,0,4,8
88,0,0,8,8
89,0,0,10,6
90,1,0,9,5
91,0,1,4,9
92,0,1,0,9
93,0,1,9,5
94,0,0,9,9
95,0,0,10,6
96,0,1,8,10
97,0,1,7,10
98,0,1,1,0
99,0,1,8,2
100,0,0,1,6
101,0,1,1,5
102,0,1,5,5
103,0,0,3,1
104,1,0,1,9
105,0,0,6,3
106,1,1,3,2
107,1,1,4,2
108,0,1,3,2
109,0,1,10,10
110,1,1,4,7
111,1,1,8,10
112,0,0,3,4
113,1,1,2,1
114,0,1,3,2
115,0,1,1,1
116,1,1,5,6
117,1,1,9,6
118,0,0,4,1
119,1,0,8,5
120,0,0,9,7
